"go_id","go_desc","gene_count","up_count","down_count"
"GO:1902584","positive regulation of response to water deprivation",4,1,3
"GO:1902600","proton transmembrane transport",4,1,3
"GO:1905039","carboxylic acid transmembrane transport",4,1,3
"GO:0000049","tRNA binding",3,2,1
"GO:0000145","exocyst",3,2,1
"GO:0000151","ubiquitin ligase complex",3,2,1
"GO:0000159","protein phosphatase type 2A complex",3,2,1
"GO:0000226","microtubule cytoskeleton organization",3,1,2
"GO:0000413","protein peptidyl-prolyl isomerization",3,0,3
"GO:0000977","RNA polymerase II transcription regulatory region sequence-specific DNA binding",3,2,1
"GO:0000987","cis-regulatory region sequence-specific DNA binding",3,2,1
"GO:0001666","response to hypoxia",3,1,2
"GO:0002229","defense response to oomycetes",3,1,2
"GO:0003682","chromatin binding",3,1,2
"GO:0003684","damaged DNA binding",3,1,2
"GO:0003899","DNA-directed 5'-3' RNA polymerase activity",3,1,2
"GO:0004029","aldehyde dehydrogenase (NAD+) activity",3,0,3
"GO:0004032","alditol:NADP+ 1-oxidoreductase activity",3,1,2
"GO:0004180","carboxypeptidase activity",3,1,2
"GO:0004185","serine-type carboxypeptidase activity",3,1,2
"GO:0004190","aspartic-type endopeptidase activity",3,1,2
"GO:0004356","glutamate-ammonia ligase activity",3,0,3
"GO:0004540","ribonuclease activity",3,1,2
"GO:0004675","transmembrane receptor protein serine/threonine kinase activity",3,1,2
"GO:0004715","non-membrane spanning protein tyrosine kinase activity",3,2,1
"GO:0004725","protein tyrosine phosphatase activity",3,2,1
"GO:0004805","trehalose-phosphatase activity",3,1,2
"GO:0004839","ubiquitin activating enzyme activity",3,3,0
"GO:0005198","structural molecule activity",3,3,0
"GO:0005200","structural constituent of cytoskeleton",3,1,2
"GO:0005384","manganese ion transmembrane transporter activity",3,0,3
"GO:0005545","1-phosphatidylinositol binding",3,0,3
"GO:0005615","extracellular space",3,0,3
"GO:0005746","mitochondrial respirasome",3,3,0
"GO:0005847","mRNA cleavage and polyadenylation specificity factor complex",3,2,1
"GO:0005871","kinesin complex",3,1,2
"GO:0005876","spindle microtubule",3,3,0
"GO:0005982","starch metabolic process",3,0,3
"GO:0005985","sucrose metabolic process",3,0,3
"GO:0006098","pentose-phosphate shunt",3,1,2
"GO:0006259","DNA metabolic process",3,1,2
"GO:0006284","base-excision repair",3,1,2
"GO:0006289","nucleotide-excision repair",3,2,1
"GO:0006310","DNA recombination",3,2,1
"GO:0006312","mitotic recombination",3,1,2
"GO:0006325","chromatin organization",3,2,1
"GO:0006334","nucleosome assembly",3,2,1
"GO:0006396","RNA processing",3,1,2
"GO:0006402","mRNA catabolic process",3,1,2
"GO:0006520","cellular amino acid metabolic process",3,1,2
"GO:0006536","glutamate metabolic process",3,1,2
"GO:0006542","glutamine biosynthetic process",3,0,3
"GO:0006612","protein targeting to membrane",3,0,3
"GO:0006623","protein targeting to vacuole",3,1,2
"GO:0006811","ion transport",3,2,1
"GO:0006857","oligopeptide transport",3,1,2
"GO:0006887","exocytosis",3,2,1
"GO:0006904","vesicle docking involved in exocytosis",3,2,1
"GO:0006950","response to stress",3,2,1
"GO:0007010","cytoskeleton organization",3,1,2
"GO:0007015","actin filament organization",3,2,1
"GO:0007017","microtubule-based process",3,3,0
"GO:0007059","chromosome segregation",3,3,0
"GO:0007095","mitotic G2 DNA damage checkpoint signaling",3,1,2
"GO:0007163","establishment or maintenance of cell polarity",3,2,1
"GO:0007264","small GTPase mediated signal transduction",3,2,1
"GO:0008081","phosphoric diester hydrolase activity",3,0,3
"GO:0008283","cell population proliferation",3,1,2
"GO:0008284","positive regulation of cell population proliferation",3,2,1
"GO:0008308","voltage-gated anion channel activity",3,1,2
"GO:0008553","P-type proton-exporting transporter activity",3,1,2
"GO:0009134","nucleoside diphosphate catabolic process",3,2,1
"GO:0009395","phospholipid catabolic process",3,2,1
"GO:0009523","photosystem II",3,2,1
"GO:0009527","plastid outer membrane",3,1,2
"GO:0009607","response to biotic stimulus",3,1,2
"GO:0009617","response to bacterium",3,0,3
"GO:0009698","phenylpropanoid metabolic process",3,0,3
"GO:0009705","plant-type vacuole membrane",3,2,1
"GO:0009718","anthocyanin-containing compound biosynthetic process",3,0,3
"GO:0009729","detection of brassinosteroid stimulus",3,1,2
"GO:0009736","cytokinin-activated signaling pathway",3,2,1
"GO:0009744","response to sucrose",3,0,3
"GO:0009751","response to salicylic acid",3,2,1
"GO:0009753","response to jasmonic acid",3,2,1
"GO:0009788","negative regulation of abscisic acid-activated signaling pathway",3,1,2
"GO:0009845","seed germination",3,0,3
"GO:0009850","auxin metabolic process",3,3,0
"GO:0009853","photorespiration",3,0,3
"GO:0009860","pollen tube growth",3,1,2
"GO:0009901","anther dehiscence",3,0,3
"GO:0009934","regulation of meristem structural organization",3,1,2
"GO:0010027","thylakoid membrane organization",3,1,2
"GO:0010030","positive regulation of seed germination",3,1,2
"GO:0010039","response to iron ion",3,0,3
"GO:0010142","farnesyl diphosphate biosynthetic process, mevalonate pathway",3,0,3
"GO:0010200","response to chitin",3,1,2
"GO:0010228","vegetative to reproductive phase transition of meristem",3,2,1
"GO:0010252","auxin homeostasis",3,0,3
"GO:0010262","somatic embryogenesis",3,1,2
"GO:0010287","plastoglobule",3,0,3
"GO:0010319","stromule",3,1,2
"GO:0010468","regulation of gene expression",3,1,2
"GO:0012511","monolayer-surrounded lipid storage body",3,0,3
"GO:0015035","protein disulfide oxidoreductase activity",3,0,3
"GO:0015250","water channel activity",3,0,3
"GO:0015288","porin activity",3,0,3
"GO:0015866","ADP transport",3,1,2
"GO:0015995","chlorophyll biosynthetic process",3,0,3
"GO:0016126","sterol biosynthetic process",3,0,3
"GO:0016157","sucrose synthase activity",3,0,3
"GO:0016409","palmitoyltransferase activity",3,0,3
"GO:0016413","O-acetyltransferase activity",3,2,1
"GO:0016602","CCAAT-binding factor complex",3,0,3
"GO:0016614","oxidoreductase activity, acting on CH-OH group of donors",3,0,3
"GO:0016760","cellulose synthase (UDP-forming) activity",3,1,2
"GO:0016765","transferase activity, transferring alkyl or aryl (other than methyl) groups",3,2,1
"GO:0017056","structural constituent of nuclear pore",3,2,1
"GO:0017110","nucleoside-diphosphatase activity",3,2,1
"GO:0017157","regulation of exocytosis",3,2,1
"GO:0018231","peptidyl-S-diacylglycerol-L-cysteine biosynthetic process from peptidyl-cysteine",3,0,3
"GO:0018345","protein palmitoylation",3,0,3
"GO:0019199","transmembrane receptor protein kinase activity",3,1,2
"GO:0019318","hexose metabolic process",3,0,3
"GO:0019706","protein-cysteine S-palmitoyltransferase activity",3,0,3
"GO:0019898","extrinsic component of membrane",3,2,1
"GO:0019901","protein kinase binding",3,2,1
"GO:0030036","actin cytoskeleton organization",3,1,2
"GO:0030042","actin filament depolymerization",3,3,0
