"go_id","go_desc","gene_count","up_count","down_count","background_count","p_value","odds_ratio","p_adj"
"GO:0071329","cellular response to sucrose stimulus",3,0,3,12,0.0161835067221305,6.83312296259347,0.2501656910079
"GO:0102485","dATP phosphohydrolase activity",3,2,1,12,0.0161835067221305,6.83312296259347,0.2501656910079
"GO:0102486","dCTP phosphohydrolase activity",3,2,1,12,0.0161835067221305,6.83312296259347,0.2501656910079
"GO:0102487","dUTP phosphohydrolase activity",3,2,1,12,0.0161835067221305,6.83312296259347,0.2501656910079
"GO:0102488","dTTP phosphohydrolase activity",3,2,1,12,0.0161835067221305,6.83312296259347,0.2501656910079
"GO:0102489","GTP phosphohydrolase activity",3,2,1,12,0.0161835067221305,6.83312296259347,0.2501656910079
"GO:0102490","8-oxo-dGTP phosphohydrolase activity",3,2,1,12,0.0161835067221305,6.83312296259347,0.2501656910079
"GO:0102491","dGTP phosphohydrolase activity",3,2,1,12,0.0161835067221305,6.83312296259347,0.2501656910079
"GO:0003872","6-phosphofructokinase activity",5,2,3,34,0.0197044504648696,3.53689664291532,0.252965630844089
"GO:0004421","hydroxymethylglutaryl-CoA synthase activity",2,0,2,5,0.0197431439765628,13.6563583745805,0.252965630844089
"GO:0005829","cytosol",118,44,74,2091,0.0173200763894573,1.24426022761591,0.252965630844089
"GO:0006793","phosphorus metabolic process",2,2,0,5,0.0197431439765628,13.6563583745805,0.252965630844089
"GO:0006851","mitochondrial calcium ion transmembrane transport",2,2,0,5,0.0197431439765628,13.6563583745805,0.252965630844089
"GO:0006880","intracellular sequestering of iron ion",2,0,2,5,0.0197431439765628,13.6563583745805,0.252965630844089
"GO:0007130","synaptonemal complex assembly",2,1,1,5,0.0197431439765628,13.6563583745805,0.252965630844089
"GO:0008692","3-hydroxybutyryl-CoA epimerase activity",2,1,1,5,0.0197431439765628,13.6563583745805,0.252965630844089
"GO:0009065","glutamine family amino acid catabolic process",2,1,1,5,0.0197431439765628,13.6563583745805,0.252965630844089
"GO:0009809","lignin biosynthetic process",6,3,3,46,0.0192710726902131,3.07814483204971,0.252965630844089
"GO:0010190","cytochrome b6f complex assembly",2,0,2,5,0.0197431439765628,13.6563583745805,0.252965630844089
"GO:0010280","UDP-L-rhamnose synthase activity",2,2,0,5,0.0197431439765628,13.6563583745805,0.252965630844089
"GO:0010497","plasmodesmata-mediated intercellular transport",4,4,0,22,0.0175293891196572,4.55706944235908,0.252965630844089
"GO:0015120","phosphoglycerate transmembrane transporter activity",2,1,1,5,0.0197431439765628,13.6563583745805,0.252965630844089
"GO:0015629","actin cytoskeleton",6,3,3,45,0.0174241683897364,3.15717247647035,0.252965630844089
"GO:0015713","phosphoglycerate transmembrane transport",2,1,1,5,0.0197431439765628,13.6563583745805,0.252965630844089
"GO:0016719","carotene 7,8-desaturase activity",4,0,4,22,0.0175293891196572,4.55706944235908,0.252965630844089
